date,spx,vix
2016-03-28,2037.05,15.24
2016-03-29,2055.01,13.82
2016-03-30,2063.95,13.56
2016-03-31,2059.74,13.95
2016-04-01,2072.78,13.1
2016-04-04,2066.13,14.12
2016-04-05,2045.17,15.42
2016-04-06,2066.66,14.09
2016-04-07,2041.91,16.16
2016-04-08,2047.6,15.36
2016-04-11,2041.99,16.26
2016-04-12,2061.72,14.85
2016-04-13,2082.42,13.84
2016-04-14,2082.78,13.72
2016-04-15,2080.73,13.62
2016-04-18,2094.34,13.35
2016-04-19,2100.8,13.24
2016-04-20,2102.4,13.28
2016-04-21,2091.48,13.95
2016-04-22,2091.58,13.22
2016-04-25,2087.79,14.08
2016-04-26,2091.7,13.96
2016-04-27,2095.15,13.77
2016-04-28,2075.81,15.22
2016-04-29,2065.3,15.7
2016-05-02,2081.43,14.68
2016-05-03,2063.37,15.6
2016-05-04,2051.12,16.05
2016-05-05,2050.63,15.91
2016-05-06,2057.14,14.72
2016-05-09,2058.69,14.57
2016-05-10,2084.39,13.63
2016-05-11,2064.46,14.69
2016-05-12,2064.11,14.41
2016-05-13,2046.61,15.04
2016-05-16,2066.66,14.68
2016-05-17,2047.21,15.57
2016-05-18,2047.63,15.95
2016-05-19,2040.04,16.33
2016-05-20,2052.32,15.2
2016-05-23,2048.04,15.82
2016-05-24,2076.06,14.42
2016-05-25,2090.54,13.9
2016-05-26,2090.1,13.43
2016-05-27,2099.06,13.12
2016-05-31,2096.96,14.19
2016-06-01,2099.33,14.2
2016-06-02,2105.26,13.63
2016-06-03,2099.13,13.47
2016-06-06,2109.41,13.65
2016-06-07,2112.13,14.05
2016-06-08,2119.12,14.08
2016-06-09,2115.48,14.64
2016-06-10,2096.07,17.03
2016-06-13,2079.06,20.97
2016-06-14,2075.32,20.5
2016-06-15,2071.5,20.14
2016-06-16,2077.99,19.37
2016-06-17,2071.22,19.41
2016-06-20,2083.25,18.37
2016-06-21,2088.9,18.48
2016-06-22,2085.45,21.17
2016-06-23,2113.32,17.25
2016-06-24,2037.41,25.76
2016-06-27,2000.54,23.85
2016-06-28,2036.09,18.75
2016-06-29,2070.77,16.64
2016-06-30,2098.86,15.63
2016-07-01,2102.95,14.77
2016-07-05,2088.55,15.58
2016-07-06,2099.73,14.96
2016-07-07,2097.9,14.76
2016-07-08,2129.9,13.2
2016-07-11,2137.16,13.54
2016-07-12,2152.14,13.55
2016-07-13,2152.43,13.04
2016-07-14,2163.75,12.82
2016-07-15,2161.74,12.67
2016-07-18,2166.89,12.44
2016-07-19,2163.78,11.97
2016-07-20,2173.02,11.77
2016-07-21,2165.17,12.74
2016-07-22,2175.03,12.02
2016-07-25,2168.48,12.87
2016-07-26,2169.18,13.05
2016-07-27,2166.58,12.83
2016-07-28,2170.06,12.72
2016-07-29,2173.6,11.87
2016-08-01,2170.84,12.44
2016-08-02,2157.03,13.37
2016-08-03,2163.79,12.86
2016-08-04,2164.25,12.42
2016-08-05,2182.87,11.39
2016-08-08,2180.89,11.5
2016-08-09,2181.74,11.66
2016-08-10,2175.49,12.05
2016-08-11,2185.79,11.68
2016-08-12,2184.05,11.55
2016-08-15,2190.15,11.81
2016-08-16,2178.15,12.64
2016-08-17,2182.22,12.19
2016-08-18,2187.02,11.43
2016-08-19,2183.87,11.34
2016-08-22,2182.64,12.27
2016-08-23,2186.9,12.38
2016-08-24,2175.44,13.45
2016-08-25,2172.47,13.63
2016-08-26,2169.04,13.65
2016-08-29,2180.38,12.94
2016-08-30,2176.12,13.12
2016-08-31,2170.95,13.42
2016-09-01,2170.86,13.48
2016-09-02,2179.98,11.98
2016-09-06,2186.48,12.02
2016-09-07,2186.16,11.94
2016-09-08,2181.3,12.51
2016-09-09,2127.81,17.5
2016-09-12,2159.04,15.16
2016-09-13,2127.02,17.85
2016-09-14,2125.77,18.14
2016-09-15,2147.26,16.3
2016-09-16,2139.16,15.37
2016-09-19,2139.12,15.53
2016-09-20,2139.76,15.92
2016-09-21,2163.12,13.3
2016-09-22,2177.18,12.02
2016-09-23,2164.69,12.29
2016-09-26,2146.1,14.5
2016-09-27,2159.93,13.1
2016-09-28,2171.37,12.39
2016-09-29,2151.13,14.02
2016-09-30,2168.27,13.29
2016-10-03,2161.2,13.57
2016-10-04,2150.49,13.63
2016-10-05,2159.73,12.99
2016-10-06,2160.77,12.84
2016-10-07,2153.74,13.48
2016-10-10,2163.66,13.38
2016-10-11,2136.73,15.36
2016-10-12,2139.18,15.91
2016-10-13,2132.55,16.69
2016-10-14,2132.98,16.12
2016-10-17,2126.5,16.21
2016-10-18,2139.6,15.28
2016-10-19,2144.29,14.41
2016-10-20,2141.34,13.75
2016-10-21,2141.16,13.34
2016-10-24,2151.33,13.02
2016-10-25,2143.16,13.46
2016-10-26,2139.43,14.24
2016-10-27,2133.04,15.36
2016-10-28,2126.41,16.19
2016-10-31,2126.15,17.06
2016-11-01,2111.72,18.56
2016-11-02,2097.94,19.32
2016-11-03,2088.66,22.08
2016-11-04,2085.18,22.51
2016-11-07,2131.52,18.71
2016-11-08,2139.56,18.74
2016-11-09,2163.26,14.38
2016-11-10,2167.48,14.74
2016-11-11,2164.45,14.17
2016-11-14,2164.2,14.48
2016-11-15,2180.39,13.37
2016-11-16,2176.94,13.72
2016-11-17,2187.12,13.35
2016-11-18,2181.9,12.85
2016-11-21,2198.18,12.42
2016-11-22,2202.94,12.41
2016-11-23,2204.72,12.43
2016-11-25,2213.35,12.34
2016-11-28,2201.72,13.15
2016-11-29,2204.66,12.9
2016-11-30,2198.81,13.33
2016-12-01,2191.08,14.07
2016-12-02,2191.95,14.12
2016-12-05,2204.71,12.14
2016-12-06,2212.23,11.79
2016-12-07,2241.35,12.22
2016-12-08,2246.19,12.64
2016-12-09,2259.53,11.75
2016-12-12,2256.96,12.64
2016-12-13,2271.72,12.72
2016-12-14,2253.28,13.19
2016-12-15,2262.03,12.79
2016-12-16,2258.07,12.2
2016-12-19,2262.53,11.71
2016-12-20,2270.76,11.45
2016-12-21,2265.18,11.27
2016-12-22,2260.96,11.43
2016-12-23,2263.79,11.44
2016-12-27,2268.88,11.99
2016-12-28,2249.92,12.95
2016-12-29,2249.26,13.37
2016-12-30,2238.83,14.04
2017-01-03,2257.83,12.85
2017-01-04,2270.75,11.85
2017-01-05,2269.0,11.67
2017-01-06,2276.98,11.32
2017-01-09,2268.9,11.56
2017-01-10,2268.9,11.49
2017-01-11,2275.32,11.26
2017-01-12,2270.44,11.54
2017-01-13,2274.64,11.23
2017-01-17,2267.89,11.87
2017-01-18,2271.89,12.48
2017-01-19,2263.69,12.78
2017-01-20,2271.31,11.54
2017-01-23,2265.2,11.77
2017-01-24,2280.07,11.07
2017-01-25,2298.37,10.81
2017-01-26,2296.68,10.63
2017-01-27,2294.69,10.58
2017-01-30,2280.9,11.88
2017-01-31,2278.87,11.99
2017-02-01,2279.55,11.81
2017-02-02,2280.85,11.93
2017-02-03,2297.42,10.97
2017-02-06,2292.56,11.37
2017-02-07,2293.08,11.29
2017-02-08,2294.67,11.45
2017-02-09,2307.87,10.88
2017-02-10,2316.1,10.85
2017-02-13,2328.25,11.07
2017-02-14,2337.58,10.74
2017-02-15,2349.25,11.97
2017-02-16,2347.22,11.76
2017-02-17,2351.16,11.49
2017-02-21,2365.38,11.57
2017-02-22,2362.82,11.74
2017-02-23,2363.81,11.71
2017-02-24,2367.34,11.47
2017-02-27,2369.75,12.09
2017-02-28,2363.64,12.92
2017-03-01,2395.96,12.54
2017-03-02,2381.92,11.81
2017-03-03,2383.12,10.96
2017-03-06,2375.31,11.24
2017-03-07,2368.39,11.45
2017-03-08,2362.98,11.86
2017-03-09,2364.87,12.3
2017-03-10,2372.6,11.66
2017-03-13,2373.47,11.35
2017-03-14,2365.45,12.3
2017-03-15,2385.26,11.63
2017-03-16,2381.38,11.21
2017-03-17,2378.25,11.28
2017-03-20,2373.47,11.34
2017-03-21,2344.02,12.47
2017-03-22,2348.45,12.81
2017-03-23,2345.96,13.12
2017-03-24,2343.98,12.96
2017-03-27,2341.59,12.5
2017-03-28,2358.57,11.53
2017-03-29,2361.13,11.42
2017-03-30,2368.06,11.54
2017-03-31,2362.72,12.37
2017-04-03,2358.84,12.38
2017-04-04,2360.16,11.79
2017-04-05,2352.95,12.89
2017-04-06,2357.49,12.39
2017-04-07,2355.54,12.87
2017-04-10,2357.16,14.05
2017-04-11,2353.78,15.07
2017-04-12,2344.93,15.77
2017-04-13,2328.95,15.96
2017-04-17,2349.01,14.66
2017-04-18,2342.19,14.42
2017-04-19,2338.17,14.93
2017-04-20,2355.84,14.15
2017-04-21,2348.69,14.63
2017-04-24,2374.15,10.84
2017-04-25,2388.61,10.76
2017-04-26,2387.45,10.85
2017-04-27,2388.77,10.36
2017-04-28,2384.2,10.82
2017-05-01,2388.33,10.11
2017-05-02,2391.17,10.59
2017-05-03,2388.13,10.68
2017-05-04,2389.52,10.46
2017-05-05,2399.29,10.57
2017-05-08,2399.38,9.77
2017-05-09,2396.92,9.96
2017-05-10,2399.63,10.21
2017-05-11,2394.44,10.6
2017-05-12,2390.9,10.4
2017-05-15,2402.32,10.42
2017-05-16,2400.67,10.65
2017-05-17,2357.03,15.59
2017-05-18,2365.72,14.66
2017-05-19,2381.73,12.04
2017-05-22,2394.02,10.93
2017-05-23,2398.42,10.72
2017-05-24,2404.39,10.02
2017-05-25,2415.07,9.99
2017-05-26,2415.82,9.81
2017-05-30,2412.91,10.38
2017-05-31,2411.8,10.41
